Time	Inst Time	Quantity	Trgt/ZrVl/Thr (WG)	Info/CrctDir	TargetAngle	CurrentAngle	Velocity	Accel	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230	240	250	260	270	280	290	300	310	320	330	340	350	360	370	380	390	400	410	420	430	440	450	460	470	480	490	500	510	520	530	540	550	560	570	580	590	600	610	620	630	640	650	660	670	680	690	700	710	720	730	740	750	760	770	780	790	800	810	820	830	840	850	860	870	880	890	900	910	920	930	940	950	960	970	980	990	1000
14	4			Angle 0 in range2 'Torso X' 'Torso Motor' -12.02 (-14.13<-12.13<-10.13
1870	1860		Ang=-12.24 Vel=0.87 Accel=0.62 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
1880	1870		Ang=-12.23 Vel=1.30 Accel=0.44 T=0	Thrust=0: In Range and moving against gravity -14.1 -10.1
1890	1880		Ang=-12.21 Vel=1.67 Accel=0.37 T=0	Thrust=0: In Range and moving against gravity -14.1 -10.1
1900	1890		Ang=-12.19 Vel=1.68 Accel=0.02 T=0	Thrust=0: In Range and moving against gravity -14.1 -10.1
1910	1900		Ang=-12.19 Vel=0.77 Accel=-0.92 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
1920	1910		Ang=-12.18 Vel=0.35 Accel=-0.41 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
1930	1920		Ang=-12.18 Vel=0.26 Accel=-0.09 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
1940	1930		Ang=-12.18 Vel=0.22 Accel=-0.05 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
1950	1940		Ang=-12.18 Vel=0.26 Accel=0.05 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
1960	1950		Ang=-12.17 Vel=0.45 Accel=0.19 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
1970	1960		Ang=-12.17 Vel=0.52 Accel=0.07 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
1980	1970		Ang=-12.16 Vel=0.29 Accel=-0.24 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
1990	1980		Ang=-12.16 Vel=-0.20 Accel=-0.49 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
2000	1990		Ang=-12.17 Vel=-0.61 Accel=-0.41 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
2010	2000	Ang	TargetIdx=23		(-14.1<-12.1<-10.1)	-12.18
2010	2000	Vel	Zero=0	0			-1.33
2010	2000	Accel	Thrust=0 (0)	0				-0.72	-0.54
2010	2000			V=N HOLD_ANGLE_TVR Seg=-12.18 Targ=-12.13 Vel=-1.33 TVR=0.50 Thrust=0 IncAngDir=1
2020	2010	Ang	TargetIdx=19		(-14.1<-12.1<-10.1)	-12.20
2020	2010	Vel	Zero=0	0			-1.12
2020	2010	Accel	Thrust=0 (0)	1				0.21	-0.31
2020	2010			V=N HOLD_ANGLE_TVR Seg=-12.20 Targ=-12.13 Vel=-1.12 TVR=0.50 Thrust=0 IncAngDir=1
2030	2020		Ang=-12.20 Vel=-0.71 Accel=0.40 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
2040	2030		Ang=-12.21 Vel=-0.58 Accel=0.13 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
2050	2040		Ang=-12.21 Vel=0.31 Accel=0.89 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
2060	2050		Ang=-12.20 Vel=0.37 Accel=0.06 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
2070	2060		Ang=-12.21 Vel=-0.70 Accel=-1.07 T=0		Thrust=0: In Range and not moving (range= -14.1 to -10.1)
